Designator,Mid X,Mid Y,Layer,Rotation
J4,81.534mm,-67.31mm,T,180
U1,81.542mm,-101.323mm,T,0
H2,90.932mm,-64.008mm,T,0
J1,67.505mm,-95.36mm,T,180
H4,90.932mm,-128.524mm,T,0
H3,71.89mm,-128.524mm,T,0
H1,71.89mm,-64.008mm,T,0
J2,67.505mm,-115.74mm,T,180
J3,86.214381mm,-94.2375mm,T,180
